"Series Key",ELEC.COST.PEL-VA-99.M,"Series Key",ELEC.COST.PEL-VA-99.M
"Series Name","Average cost of fossil fuels for electricity generation : petroleum liquids : Virginia : all sectors : monthly","Series Name","Average cost of fossil fuels for electricity generation : petroleum liquids : Virginia : all sectors : monthly"
Units,"dollars per barrels",Units,"dollars per barrels"
Frequency,M,Frequency,M
"Start Date",200801,"Start Date",200801
"End Date",202109,"End Date",202109
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202109,,202109,
202108,71.45,202108,71.45
202107,,202107,
202106,,202106,
202105,67.03,202105,67.03
202104,66.13,202104,66.13
202103,,202103,
202102,67.85,202102,67.85
202101,,202101,
202012,,202012,
202011,,202011,
202010,59.58,202010,59.58
202009,70.22,202009,70.22
202008,102.29,202008,102.29
202007,96.35,202007,96.35
202006,,202006,
202005,57.73,202005,57.73
202004,78.59,202004,78.59
202003,,202003,
202002,,202002,
202001,,202001,
201912,71.79,201912,71.79
201911,,201911,
201910,88.7,201910,88.7
201909,56.82,201909,56.82
201908,,201908,
201907,90.41,201907,90.41
201906,89.41,201906,89.41
201905,93.13,201905,93.13
201904,88.69,201904,88.69
201903,93.95,201903,93.95
201902,95.65,201902,95.65
201901,72.49,201901,72.49
201812,73.43,201812,73.43
201811,89.39,201811,89.39
201810,,201810,
201809,105.89,201809,105.89
201808,100.21,201808,100.21
201807,70.62,201807,70.62
201806,,201806,
201805,62,201805,62
201804,91.38,201804,91.38
201803,81.9,201803,81.9
201802,78.91,201802,78.91
201801,60.65,201801,60.65
201712,72.3,201712,72.3
201711,51.17,201711,51.17
201710,,201710,
201709,,201709,
201708,70.37,201708,70.37
201707,64,201707,64
201706,68.03,201706,68.03
201705,,201705,
201704,79.46,201704,79.46
201703,,201703,
201702,,201702,
201701,79.87,201701,79.87
201612,,201612,
201611,,201611,
201610,73.33,201610,73.33
201609,67.82,201609,67.82
201608,50.7,201608,50.7
201607,46.32,201607,46.32
201606,75.3,201606,75.3
201605,,201605,
201604,,201604,
201603,51.5,201603,51.5
201602,45.42,201602,45.42
201601,53.46,201601,53.46
201512,48.26,201512,48.26
201511,,201511,
201510,75.77,201510,75.77
201509,46.17,201509,46.17
201508,59.19,201508,59.19
201507,,201507,
201506,67.13,201506,67.13
201505,,201505,
201504,92.07,201504,92.07
201503,107.15,201503,107.15
201502,,201502,
201501,85.38,201501,85.38
201412,99.46,201412,99.46
201411,,201411,
201410,114.55,201410,114.55
201409,122.04,201409,122.04
201408,118.23,201408,118.23
201407,129.7,201407,129.7
201406,128.72,201406,128.72
201405,122.53,201405,122.53
201404,,201404,
201403,137.26,201403,137.26
201402,,201402,
201401,128.1,201401,128.1
201312,,201312,
201311,127.29,201311,127.29
201310,128.56,201310,128.56
201309,,201309,
201308,109.43,201308,109.43
201307,101.67,201307,101.67
201306,124.66,201306,124.66
201305,113.82,201305,113.82
201304,126.46,201304,126.46
201303,130.02,201303,130.02
201302,116.49,201302,116.49
201301,123.09,201301,123.09
201212,124.55,201212,124.55
201211,,201211,
201210,135.2,201210,135.2
201209,138.35,201209,138.35
201208,113.5,201208,113.5
201207,,201207,
201206,,201206,
201205,,201205,
201204,112.97,201204,112.97
201203,139.73,201203,139.73
201202,133.03,201202,133.03
201201,146.74,201201,146.74
201112,121.72,201112,121.72
201111,121.54,201111,121.54
201110,,201110,
201109,109.65,201109,109.65
201108,109.43,201108,109.43
201107,117.84,201107,117.84
201106,117.09,201106,117.09
201105,,201105,
201104,114.64,201104,114.64
201103,111.03,201103,111.03
201102,105.13,201102,105.13
201101,97.1,201101,97.1
201012,,201012,
201011,,201011,
201010,,201010,
201009,,201009,
201008,,201008,
201007,,201007,
201006,,201006,
201005,,201005,
201004,,201004,
201003,,201003,
201002,,201002,
201001,,201001,
200912,,200912,
200911,,200911,
200910,,200910,
200909,,200909,
200908,,200908,
200907,,200907,
200906,,200906,
200905,,200905,
200904,,200904,
200903,,200903,
200902,,200902,
200901,,200901,
200812,,200812,
200811,,200811,
200810,,200810,
200809,,200809,
200808,,200808,
200807,,200807,
200806,,200806,
200805,,200805,
200804,,200804,
200803,,200803,
200802,,200802,
200801,,200801,
