Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200101,34.3
200102,41.2
200103,42.0
200104,56.6
200105,63.0
200106,71.5
200107,71.9
200108,75.0
200109,64.8
200110,55.2
200111,51.2
200112,43.4
200201,39.2
200202,40.5
200203,46.3
200204,57.7
200205,62.0
200206,72.9
200207,76.6
200208,75.8
200209,69.4
200210,57.5
200211,44.8
200212,36.0
200301,31.1
200302,34.8
200303,48.0
200304,54.7
200305,61.7
200306,68.9
200307,74.5
200308,75.5
200309,66.7
200310,55.2
200311,51.5
200312,36.8
200401,32.1
200402,36.3
200403,47.8
200404,55.4
200405,68.9
200406,70.8
200407,74.6
200408,71.8
200409,67.9
200410,57.3
200411,49.5
200412,38.2
200501,37.7
200502,39.3
200503,41.8
200504,55.0
200505,59.8
200506,71.8
200507,77.1
200508,76.3
200509,70.4
200510,58.2
200511,48.7
200512,35.1
200601,42.4
200602,37.4
200603,46.1
200604,58.0
200605,61.1
200606,70.7
200607,75.9
200608,76.5
200609,64.8
200610,54.2
200611,48.7
200612,43.1
200701,39.9
200702,31.9
200703,49.2
200704,53.4
200705,64.4
200706,71.9
200707,73.8
200708,77.5
200709,69.4
200710,62.5
200711,46.2
200712,41.5
200801,36.0
200802,40.3
200803,46.8
200804,55.9
200805,61.3
200806,74.0
200807,74.6
200808,72.3
200809,68.2
200810,54.8
200811,44.1
200812,40.2
200901,32.6
200902,38.9
200903,45.1
200904,55.4
200905,64.1
200906,71.6
200907,71.9
200908,75.2
200909,66.6
200910,55.3
200911,49.5
200912,35.7
201001,32.7
201002,31.9
201003,47.4
201004,58.6
201005,66.2
201006,76.0
201007,77.9
201008,76.0
201009,70.0
201010,58.0
201011,46.3
201012,30.1
201101,32.1
201102,40.9
201103,46.0
201104,58.2
201105,64.8
201106,73.4
201107,77.8
201108,74.9
201109,68.2
201110,55.5
201111,49.4
201112,42.6
201201,38.9
201202,41.8
201203,55.2
201204,55.6
201205,67.3
201206,70.2
201207,78.7
201208,74.0
201209,66.9
201210,56.4
201211,42.7
201212,42.9
201301,38.5
201302,36.8
201303,40.1
201304,56.0
201305,62.5
201306,72.2
201307,75.6
201308,71.8
201309,66.3
201310,57.6
201311,43.7
201312,40.3
201401,29.4
201402,37.0
201403,40.7
201404,55.0
201405,65.2
201406,72.5
201407,73.4
201408,71.3
201409,68.1
201410,57.8
201411,42.1
201412,40.8
201501,33.8
201502,28.9
201503,44.2
201504,55.9
201505,67.1
201506,73.7
201507,75.3
201508,73.2
201509,69.3
201510,56.3
201511,51.1
201512,49.6
201601,33.1
201602,38.4
201603,51.8
201604,55.1
201605,61.9
201606,71.8
201607,77.3
201608,77.0
201609,71.8
201610,59.8
201611,48.3
201612,39.1
201701,40.1
201702,46.0
201703,45.9
201704,60.6
201705,63.4
201706,71.2
201707,76.8
201708,72.8
201709,67.4
201710,60.2
201711,46.1
201712,37.2
201801,31.8
201802,45.2
201803,41.2
201804,52.2
201805,69.7
201806,73.1
201807,75.1
201808,75.2
201809,72.8
201810,59.0
201811,43.8
201812,39.7
201901,36.3
201902,41.8
201903,43.9
201904,58.1
201905,68.9
201906,71.2
201907,77.1
201908,74.7
201909,72.5
201910,60.6
201911,43.1
201912,41.5
202001,40.6
202002,42.5
202003,51.7
202004,53.3
202005,60.4
202006,71.3
202007,78.7
202008,75.5
202009,66.4
202010,59.0
202011,51.3
202012,38.4
202101,36.6
